molregno,canonical_smiles,hba,hbd,psa,rtb,full_mwt,heavy_atoms,aromatic_rings,pref_name,confidence_score,bao_endpoint,standard_value,standard_units,pchembl_value,assay_id
2246,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3,1,35.16,3,326.83,23,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,453.0,nM,6.34,2294
40142,CCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3,1,35.16,4,320.44,24,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,627.0,nM,6.20,2294
22470,OC(c1ccccc1)C1CCN(CCc2ccccc2)CC1,2,1,23.47,5,295.43,22,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.5,nM,8.60,2300
34234,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,6,1,48.30,5,383.52,27,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,82.0,nM,7.09,2300
22264,O=C(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1,2,0,20.31,7,339.45,25,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,5.3,nM,8.28,2300
22512,OC(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1,2,1,23.47,7,341.47,25,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,126.0,nM,6.90,2300
7714,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,6,0,64.16,4,410.49,30,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.39,nM,9.41,2300
34266,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,3,0,12.47,4,331.87,22,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.7,nM,8.57,2300
131689,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,4,0,43.86,5,425.53,30,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.04,nM,10.40,2300
34197,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,5,1,30.87,0,312.44,22,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.9,nM,8.72,2300
120674,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,4,1,41.93,7,373.47,27,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.5,nM,8.82,2300
33664,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,5,1,48.47,4,412.95,28,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.25,nM,9.60,2300
22388,O=C(c1ccccc1)C1CCN(CCc2ccccc2)CC1,2,0,20.31,5,293.41,22,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,9.6,nM,8.02,2300
2261,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4,1,30.87,0,326.83,23,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,4.0,nM,8.40,2300
220775,C[C@@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3,2,2,51.04,2,230.31,17,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,3.6,nM,8.44,2310
36132,NCCc1c[nH]c2ccc3c(c12)CCCO3,2,2,51.04,2,216.28,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,4.9,nM,8.31,2310
35905,Cn1cc(CCN)c2c3c(ccc21)OCCC3,3,1,40.18,2,230.31,17,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,8.2,nM,8.09,2310
35617,CN(C)CCc1c[nH]c2ccc3c(c12)CCCO3,2,1,28.26,3,244.34,18,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,17.0,nM,7.77,2310
146922,c1ccc(-c2[nH]c3ccccc3c2CCN2CCCCC2)cc1,1,1,19.03,4,304.44,23,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.7,nM,8.57,2311
36730,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,4,1,60.85,5,352.50,24,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2525
190684,CC1CCN(CCC2CCCCN2S(=O)(=O)c2cccc3ccccc23)CC1,3,0,40.62,5,400.59,28,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,3162.28,nM,NULL,2525
155230,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc3ccccc23)CC1,3,0,40.62,5,386.56,27,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1584.89,nM,5.80,2525
10956,Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1,3,0,40.62,5,350.53,24,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,5011.87,nM,NULL,2525
1151895,CC1CCN(CC[C@H]2CCCCN2S(=O)(=O)c2cccc3ccccc23)CC1,3,0,40.62,5,400.59,28,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2511.89,nM,NULL,2525
191205,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1,3,0,40.62,5,405.39,25,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1000.0,nM,NULL,2525
191237,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(Br)c2)CC1,3,0,40.62,5,415.40,24,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,5011.87,nM,NULL,2525
134941,Cn1ccc2cc3c(cc21)CCCN3C(=O)Nc1cccnc1,3,1,50.16,1,306.37,23,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,6309.57,nM,NULL,2531
26106,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1NCCN(C)C,7,2,92.52,9,485.59,36,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,5.012,nM,8.30,2538
16538,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc5c(c4)C4(CCN(C)CC4)CO5)cc3)c(C)c2)no1,6,1,80.49,4,494.60,37,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1000.0,nM,6.00,2538
26144,Cc1cc(C(=O)Nc2cccc(N3CCN(C)CC3)c2)ccc1Br,3,1,35.58,3,388.31,24,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,316.23,nM,6.50,2538
26294,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc5c(c4)N(CCN(C)C)CCO5)cc3)c(C)c2)no1,7,1,83.73,7,497.60,37,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,3.981,nM,8.40,2538
26085,COc1cc2c(cc1OCCN(C)C)N(C(=O)c1ccc(-c3ccc(-c4noc(C)n4)cc3C)cc1)CC2,7,0,80.93,8,512.61,38,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,316.23,nM,6.50,2538
26118,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,6,0,71.70,3,520.63,39,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1584.89,nM,5.80,2538
26293,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4cc5c(c(OCCN(C)C)c4)OCC5)cc3)c(C)c2)no1,7,1,89.72,8,498.58,37,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,50.12,nM,7.30,2538
25409,Cc1cc(C(=O)Nc2ccc(C)c(N3CCN(C)CC3)c2)ccc1Br,3,1,35.58,3,402.34,25,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,125.89,nM,6.90,2538
26180,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1OCCN(C)C,7,1,89.72,9,486.57,36,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,50.12,nM,7.30,2538
16396,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,7,1,83.73,6,497.60,37,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,15.85,nM,7.80,2538
26262,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1CCCN(C)C,6,1,80.49,9,484.60,36,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,6.31,nM,8.20,2538
24530,COc1ccc(NC(=O)c2ccc(Br)c(C)c2)cc1N1CCN(C)CC1,4,1,44.81,4,418.34,26,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,199.53,nM,6.70,2538
269654,O=C1c2ccoc2CCC1CCN1CCC(c2noc3cc(F)ccc23)CC1,5,0,59.48,4,382.44,28,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.7244,nM,9.14,2541
114672,O=C(CCCN1CCN(CC2CC(=O)c3ccccc3C2)CC1)c1ccc(F)cc1,4,0,40.62,7,408.52,30,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,114.82,nM,6.94,2541
197006,O=C1CC(CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2[nH]c3ccccc3c21,4,1,62.13,3,417.48,31,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.175,nM,8.93,2541
153628,O=C(CCCN1CCN(CCC2Cc3ccccc3C2=O)CC1)c1ccc(F)cc1,4,0,40.62,8,408.52,30,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,67.61,nM,7.17,2541
82738,Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc21,4,1,54.34,3,311.38,23,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,12589.25,nM,4.90,2475
83082,Cn1cc(C(=O)C(=O)N[C@@H]2CN3CCC2CC3)c2ccccc21,4,1,54.34,3,311.38,23,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,25118.86,nM,4.60,2475
62698,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccnc1)CC2,2,1,45.23,1,287.75,20,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,158.49,nM,6.80,2515
14101,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,3,1,45.23,2,353.37,24,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,398.11,nM,6.40,2515
62720,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,3,1,50.16,1,292.34,22,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1995.26,nM,5.70,2515
14131,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,4,1,67.35,3,394.86,28,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,158.49,nM,6.80,2515
61691,CSc1cc2c(cc1Cl)N(C(=O)Nc1cccnc1)CC2,3,1,45.23,2,319.82,21,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2511.89,nM,5.60,2515
134821,Cn1ccc2c3c(ccc21)N(C(=O)Nc1cccnc1)CC3,3,1,50.16,1,292.34,22,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2884.03,nM,5.54,2518
62720,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,3,1,50.16,1,292.34,22,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1621.81,nM,5.79,2518
134823,Cn1ccc2c3c(ccc21)N(C(=O)Nc1cccnc1)CCC3,3,1,50.16,1,306.37,23,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,6309.57,nM,NULL,2519
157908,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)cc1,5,2,74.33,4,424.57,30,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,3162.28,nM,NULL,2520
157806,Cc1c(S(=O)(=O)Nc2ccc3nccc(N4CCN(C)CC4)c3c2)sc2ccc(Cl)cc12,6,1,65.54,4,487.05,32,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1000.0,nM,6.00,2520
157077,O=S(=O)(Nc1ccc2nccc(N3CCNCC3)c2c1)c1ccc(-c2ccccc2)cc1,5,2,74.33,5,444.56,32,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,501.19,nM,6.30,2520
157459,Cc1cc(N2CCNCC2)c2cc(NS(=O)(=O)c3sc4ccc(Cl)cc4c3C)ccc2n1,6,2,74.33,4,487.05,32,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1995.26,nM,NULL,2520
157834,O=S(=O)(Nc1ccc2nccc(N3CCNCC3)c2c1)c1ccc2c(Cl)cccc2c1,5,2,74.33,4,452.97,31,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1000.0,nM,6.00,2520
158053,Cc1c(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)sc2ccc(Cl)cc12,6,2,74.33,4,473.02,31,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2511.89,nM,NULL,2520
158033,Cc1sc2ccc(Cl)cc2c1S(=O)(=O)Nc1ccc2nccc(N3CCNCC3)c2c1,6,2,74.33,4,473.02,31,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1995.26,nM,NULL,2520
158169,CCc1c(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)sc2ccc(Cl)cc12,6,2,74.33,5,487.05,32,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1258.93,nM,NULL,2520
157986,Cc1c(S(=O)(=O)Nc2ccc3nccc(N4CCN[C@@H](C)C4)c3c2)sc2ccc(Cl)cc12,6,2,74.33,4,487.05,32,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2511.89,nM,NULL,2520
147331,c1ccc(CCN2C3CCC2CC(N2CCC(c4c(-c5ccccc5)[nH]c5ccccc45)CC2)C3)cc1,2,1,22.27,6,489.71,37,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.2,nM,8.92,2311
61800,c1ccc(-c2[nH]c3ccccc3c2C2CCNCC2)cc1,1,2,27.82,2,276.38,21,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,12.1,nM,7.92,2311
147331,c1ccc(CCN2C3CCC2CC(N2CCC(c4c(-c5ccccc5)[nH]c5ccccc45)CC2)C3)cc1,2,1,22.27,6,489.71,37,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.6,nM,8.59,2311
1594698,CN1[C@H]2CC[C@@H]1C[C@@H](N1CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC1)C2,2,1,22.27,3,399.58,30,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.5,nM,8.82,2311
1594698,CN1[C@H]2CC[C@@H]1C[C@@H](N1CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC1)C2,2,1,22.27,3,399.58,30,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.1,nM,8.96,2311
147525,c1ccc(CN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)cc1,1,1,19.03,4,366.51,28,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,28.0,nM,7.55,2311
522679,c1ccc(-c2[nH]c3ccccc3c2C2CC3CCC(C2)N3)cc1,1,2,27.82,2,302.42,23,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.8,nM,8.74,2311
147444,CN1CCC(c2c(-c3ccccc3)[nH]c3ccccc23)CC1,1,1,19.03,2,290.41,22,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,7.8,nM,8.11,2311
147412,O=C1NCCN1CCN1CCC(c2c(-c3ccccc3)[nH]c3ccccc23)CC1,2,2,51.37,5,388.51,29,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,7.3,nM,8.14,2311
61811,c1ccc(CCN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)cc1,1,1,19.03,5,380.54,29,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.5,nM,9.30,2311
700,COc1ccc2c(c1)cc1n2CCNC1,3,1,26.19,1,202.26,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,930.0,nM,6.03,2313
59545,CN(C)CCn1ccc2cc(F)c(F)cc21,2,0,8.17,3,224.25,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,230.0,nM,6.64,2313
59573,Clc1cccc2cc3n(c12)CCNC3,2,1,16.96,0,206.68,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,330.0,nM,6.48,2313
59851,Clc1ccc2c(c1)cc1n2CCNC1,2,1,16.96,0,206.68,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,320.0,nM,6.50,2313
701,c1ccc2c(c1)nc1n2CCNC1,3,1,29.85,0,173.22,13,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2313
59852,COc1cccc2cc3n(c12)CCNC3,3,1,26.19,1,202.26,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,300.0,nM,6.52,2313
60061,CN(C)CCn1ccc2ccccc21,2,0,8.17,3,188.27,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,650.0,nM,6.19,2313
59539,COc1c2n(c3ccc(Cl)cc13)CCNC2,3,1,26.19,1,236.70,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,60.0,nM,7.22,2313
59478,COc1ccc2c(ccn2CCN(C)C)c1,3,0,17.40,4,218.30,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2313
60171,Clc1ccc2cc3n(c2c1)CCNC3,2,1,16.96,0,206.68,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,80.0,nM,7.10,2313
697,c1ccc2c(c1)cc1n2CCNC1,2,1,16.96,0,172.23,13,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,635.0,nM,6.20,2313
699,COc1ccc2cc3n(c2c1)CCNC3,3,1,26.19,1,202.26,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1300.0,nM,5.89,2313
700,COc1ccc2c(c1)cc1n2CCNC1,3,1,26.19,1,202.26,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,5830.0,nM,5.23,2315
59545,CN(C)CCn1ccc2cc(F)c(F)cc21,2,0,8.17,3,224.25,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,640.0,nM,6.19,2315
59573,Clc1cccc2cc3n(c12)CCNC3,2,1,16.96,0,206.68,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,630.0,nM,6.20,2315
59851,Clc1ccc2c(c1)cc1n2CCNC1,2,1,16.96,0,206.68,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1670.0,nM,5.78,2315
701,c1ccc2c(c1)nc1n2CCNC1,3,1,29.85,0,173.22,13,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2315
59852,COc1cccc2cc3n(c12)CCNC3,3,1,26.19,1,202.26,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1000.0,nM,6.00,2315
60061,CN(C)CCn1ccc2ccccc21,2,0,8.17,3,188.27,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,600.0,nM,6.22,2315
59539,COc1c2n(c3ccc(Cl)cc13)CCNC2,3,1,26.19,1,236.70,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,130.0,nM,6.89,2315
59878,Cc1c2n(c3ccc(Cl)cc13)CCNC2,2,1,16.96,0,220.70,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1250.0,nM,5.90,2315
59478,COc1ccc2c(ccn2CCN(C)C)c1,3,0,17.40,4,218.30,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2315
60062,COc1ccc2ccn(CCN(C)C)c2c1,3,0,17.40,4,218.30,16,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1040.0,nM,5.98,2315
60171,Clc1ccc2cc3n(c2c1)CCNC3,2,1,16.96,0,206.68,14,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,58.0,nM,7.24,2315
697,c1ccc2c(c1)cc1n2CCNC1,2,1,16.96,0,172.23,13,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1040.0,nM,5.98,2315
699,COc1ccc2cc3n(c2c1)CCNC3,3,1,26.19,1,202.26,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,5190.0,nM,5.29,2315
296708,O=S(=O)(c1ccccc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,3,0,37.38,5,383.44,26,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.68,nM,9.17,302363
296798,O=S(=O)(c1ccc(F)cc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,3,0,37.38,5,401.43,27,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.39,nM,9.41,302363
244895,O=S(=O)(c1ccccc1)C1CCN(CCc2ccc(F)cc2F)CC1,3,0,37.38,5,365.45,25,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.33,nM,9.48,302363
244233,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,3,0,37.38,5,383.44,26,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,0.42,nM,9.38,302363
296864,N#Cc1ccc(S(=O)(=O)C2(F)CCN(CCc3ccc(F)cc3F)CC2)cc1,4,0,61.17,5,408.45,28,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.7,nM,8.57,302363
296660,O=C(CN1CCC(S(=O)(=O)c2ccccc2)CC1)c1ccc(F)cc1F,4,0,54.45,5,379.43,26,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.4,nM,8.62,302363
296817,O=S(=O)(c1ccc(-n2cccn2)cc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,5,0,55.20,6,449.50,31,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.0,nM,8.70,302363
324777,CN(C)C[C@H]1C[C@@H]2c3ccccc3Sc3ccc(F)cc3[C@H]2O1,3,0,12.47,2,329.44,23,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1.6,nM,8.80,303104
152183,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1,2,0,12.47,2,293.41,22,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2.5,nM,8.60,303104
3859,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3,1,40.54,6,375.87,26,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,435.0,nM,6.36,303104
